company,name,title,reports_to,org_status,image_src
amazon,Luca Rager,Senior Frontend Engineer,Vibhu Dadhichi,7,NA
disney,Shakira K.,Vice President Cyber Security,Gail Evans,3,https://cdn.theorg.com/1878c626-9016-4051-8a0e-4b00507fb86a_thumb.jpg
google,Grzegorz Krumpholz,"Director, Engineering",Sujata Kosalge,5,https://cdn.theorg.com/148bfd8e-2b8e-4a88-a991-643cc3dfdc70_thumb.jpg
netflix,Kranthi Pamarthi,Senior Software Engineer,Irin Berry,4,
microsoft,Hoifung Poon,"General Manager, Health Futures",Tyler Bryson,2,https://cdn.theorg.com/1c393ef0-dd7c-4943-96ed-0662404aa55d_thumb.jpg
stripe,Adam O'Donnell,Deputy CISO,Scott Gardner,5,https://cdn.theorg.com/daf7ad23-dfea-4857-81c0-288a5df361c8_thumb.jpg
nike,Lisa B.,"Global Director Strategic Communications, Jordan Brand",Tim Yu,4,https://cdn.theorg.com/e9a327b3-1603-44f6-89c3-bc15056c627d_thumb.jpg
apple,David Q. Sun,Engineering Manager,Anuradha Gali,4,https://cdn.theorg.com/160532f8-379f-4908-a6ed-5d0db332ce20_thumb.jpg
netflix,Vicky Delaney,"Vp, HR Business Partner - Finance & Operations And Talent",Dorothy Hammond,5,https://cdn.theorg.com/3e77919a-37b3-46d9-b4c1-8956f2e17737_thumb.jpg
netflix,Vitali Kauhanka,Senior Software Engineer,Gregory Taylor,4,https://cdn.theorg.com/4afd9788-9f4b-4194-ba2e-478258eadb67_thumb.jpg
netflix,Caroline Crow,"Senior Recruiter - Marketing, Consumer Products & Experiences",Jenilee Deal,5,https://cdn.theorg.com/34bb824c-01ec-4f8b-a865-fe28707e6339_thumb.jpg
google,Bar Szwarcberg,Senior Software Engineer,Marko Velic,7,https://cdn.theorg.com/9bd745cd-ec82-4ff5-ae95-65e74828b4df_thumb.jpg
amazon,Kun Liu,"Director, Amazon Advertising",Paul Kotas,3,
google,Deep Bodapati,"Head Of Integrated GTM Strategy, Google Cloud",Yun Freund,4,https://cdn.theorg.com/8a55360a-e452-4cbe-b808-b30dcc7a8e8a_thumb.jpg
apple,Chris Kondo,Senior Director of Corporate Accounting,Luca Maestri,3,https://cdn.theorg.com/a1bf332d-7588-4093-9126-79d4d11db619_thumb.jpg
amazon,Angeline Pan,Product Marketing Manager,Ed Jimenez,7,NA
disney,Bree Lemasters,"Executive Director, Integrated Marketing",Erin Weir,5,
nike,Sebastyan Zaborowski,"Sr Director, Customer Success, Data Products And Ecosystem",Emily White,4,https://cdn.theorg.com/1aeac20b-8ef5-4b4c-a947-8689e7859d88_thumb.jpg
netflix,Jeeva Kailasam,Sr. Systems Engineer - Amazon Web Services,Irin Berry,4,https://cdn.theorg.com/f0173f9e-3385-4686-b8ed-e0c09c6a54e4_thumb.jpg
tesla,Sam Charles,Senior Software Engineer,Supratik Maitra,7,
google,Claude Zellweger,Senior Director Of Design,Ivy Ross,4,https://cdn.theorg.com/63106b6a-d12e-499e-8989-953941fc9814_thumb.jpg
amazon,Apurwa Banka,"Head Of Finance - UK & FR Sort Centers, Long Term Labor Planning & High Volume Events",Krishnan Maniketh,4,https://cdn.theorg.com/b8c1ff20-dea9-4a55-9dde-a6b25ec76293_thumb.jpg
google,Taibai Xu,Senior Staff Software Engineer & Tech Lead Manager,Cristos Goodrow,4,https://cdn.theorg.com/1a1bcde6-e610-4bdb-b438-70edd7baf60a_thumb.jpg
amazon,kislay anand,Software Engineering Manager,Amit Agarwal,5,https://cdn.theorg.com/e0265b24-ba0e-442a-9ac9-13db7946ff1e_thumb.jpg
amazon,Sonja Antoine,"Sr. Manager, Local Marketing Strategy",Jamaal O. Bailey,4,https://cdn.theorg.com/1e492a89-08c8-4224-bf7e-4d61a5bbfabd_thumb.jpg
meta,Ali Jayson,"Director, Product Marketing, Augmented Reality",Shachar Scott,7,https://cdn.theorg.com/f6ef95fd-6248-48d0-b7b5-5991472d7d70_thumb.jpg
apple,Mohsen Mollazadeh,Algorithm Engineering Manager,Madiha Chan,5,https://cdn.theorg.com/c3961545-e187-457c-a90d-4181747f2f4d_thumb.jpg
nike,Anton de Avila,"Global Brand Marketing Lead, Men's Running",Rami Jabaji,6,https://cdn.theorg.com/e7f3b743-818e-4cc8-909e-adebcee96469_thumb.jpg
meta,Han Fang,"Senior Research Scientist Manager, Genai",Alborz Geramifard,6,https://cdn.theorg.com/a2bfa8ae-3d2f-40b3-8909-9f51a931d5af_thumb.jpg
netflix,Brittany Henricksen,Marketing Artist Manager,Sayako Oka,4,https://cdn.theorg.com/7d654a21-4dbf-41ed-92ae-8afbfd4c2f49_thumb.jpg
disney,Jim Vanderhoef,"Head Of Ad Sales Finance, Svp, Disney Advertising Sales",Bryan Castellani,4,https://cdn.theorg.com/a5c15ea4-4167-4959-929d-d3e64169dc1d_thumb.jpg
netflix,Patrycja Klimaszewska,"Senior Manager, Executive Recruiting & Engagement",Allison Satterlee,4,https://cdn.theorg.com/137cb795-7117-4592-83ae-ec97963c15f8_thumb.jpg
amazon,Cc Lee,"Head Of Hardware Engineering, Ring Asia",Sanjay Dash,5,https://cdn.theorg.com/9beea8e0-5ffc-46a4-a0f6-a34e3bd883d3_thumb.jpg
meta,Angeliki Dedopoulou,Public Policy Manager - AI & Fintech,Ning Li,7,https://cdn.theorg.com/7a273942-355b-4dc0-b65a-40b680c35653_thumb.jpg
meta,Tom Chavez,Product Marketing Manager,Christa Wittenberg,6,https://cdn.theorg.com/ed810ba2-d5d5-4ab6-afd9-cf819380fdff_thumb.jpg
apple,Prateek Hiremath,Senior Counsel,Erika Obuhanych,5,https://cdn.theorg.com/42407ecf-d6d0-436d-92ef-f5c0b99290c2_thumb.jpg
meta,Yuriy Oparenko,Lead Product Designer,Breanne Rotelli,6,https://cdn.theorg.com/d50a04cc-86d4-46ea-a421-ab51d63d6065_thumb.jpg
disney,Laura Pope,APAC Business Integration - Disney APAC,Gerard Devan,5,
apple,Julie Ruef,"Global Business Development & Partnerships, Apple Services - Music, TV+, Arcade, Fitness+, etc.",Amanda Marks,5,https://cdn.theorg.com/03c84f3f-7efc-4f4a-a244-05463dcbfa9c_thumb.jpg
amazon,Terrence Morgan,Sr Customer Success Manager,Colm Scully,4,https://cdn.theorg.com/3a018baf-ef3b-47dd-be29-e31284f19d88_thumb.jpg
meta,Megha Shah,Senior Business Analyst V,David Wei,5,
apple,Nir Ayalon,"Director, International Business Development, Apple Services",Adrian Perica,5,https://cdn.theorg.com/f3036e12-65d5-4a27-a4c2-d2adafc4e2e8_thumb.jpg
meta,Jake Bailey,Group Director SMB Group,Nicola Mendelsohn,5,https://cdn.theorg.com/619dcf94-a3cb-460b-9eb6-084f6e3a10c0_thumb.jpg
amazon,Manju Putcha,Software Development Manager,Anirudh Chauhan,6,https://cdn.theorg.com/817110d2-38c2-4f5b-be09-215b93e37c79_thumb.jpg
meta,Ajay Thampi,Senior Research Scientist,Joelle Pineau,5,https://cdn.theorg.com/04999be4-1c8d-49af-8ffe-6bb6455c8639_thumb.jpg
netflix,Kevin Gallagher,Senior Sofware Engineer,Irin Berry,4,https://cdn.theorg.com/aed092e7-5bd0-4d85-af0d-b6d08d5becbc_thumb.jpg
google,Alberto Moro,Senior Product Designer,Michael Duskus,5,
amazon,Cisco Murat,"Head Of U.S. Operations, Executive Director",Alexander D.,4,https://cdn.theorg.com/3b722486-f528-47fc-af11-ae993d30d369_thumb.jpg
microsoft,Lynnette Spanola Eastlake,Global Employee Engagement & Culture Lead,Tarun Mehra,4,https://cdn.theorg.com/bbb9a338-a4c0-4968-a886-182083f21574_thumb.jpg
apple,Preeti Agarwal,Senior Recruiter,Joan Stephens,4,https://cdn.theorg.com/ce02d08a-df77-484a-b638-3025002761c4_thumb.jpg
meta,Hansmeet Sethi,"Director, Product Management",Nipoon Malhotra,8,https://cdn.theorg.com/71649859-4354-476d-ac31-ff5b136d8cf6_thumb.jpg
netflix,Reg Thompson,"Sr Director, Corporate Legal (current); Director, Corp Legal (2014-23), Sr Corp Counsel (2011-14)",Linda Burrow,4,https://cdn.theorg.com/20ecf511-4156-4f5a-bb6a-8b343c9b8362_thumb.jpg
amazon,Marjorie Cue,Global Human Resources Leader In Tech,Anuke S.,5,https://cdn.theorg.com/708bf358-3950-4790-b84d-fe5f70bdb29b_thumb.jpg
tesla,Taeho Hong,Senior Field Service Engineer | Enery Team,Ralf Gomm,5,https://cdn.theorg.com/8cc99e89-9f8a-47f9-a7d3-5a1e141ec5f1_thumb.jpg
apple,Rui Liang,"Sr. Hardware Development Engineer, Core Sensing And Laser Development",Priya Ananthanarayanan,4,https://cdn.theorg.com/db17cb92-563d-4bec-915b-e353f7dc051d_thumb.jpg
stripe,Gopal Kharwat,Recruiting At Stripe,Celine  Szymczak,6,https://cdn.theorg.com/7ffe8b65-dae8-4d96-b5c6-f961c3e367de_thumb.jpg
meta,Neeraj Agrawal,Director Of Engineering,David Wei,5,
amazon,Youssef Elghor,"Software Development Manager, Amp In Amazon Music",Paddu Kumar,5,https://cdn.theorg.com/071dcd60-dfae-43b8-8407-e144111469d8_thumb.jpg
netflix,Jon W.,VP Product | Advertising,Amy Reinhard,4,
disney,Lisa Dias,"Vice President Of Administration, Disney Music Publishing",Tasia Filippatos,3,
apple,Hars Vardhan,Senior Software Engineer| SPG,Andrew Toolson,5,https://cdn.theorg.com/9899864c-f608-4fab-b809-854f22edf406_thumb.jpg
amazon,Agniva Som,Applied Sciences Manager,Nikko Ström,4,https://cdn.theorg.com/53cc84b7-17ae-4a78-af7b-f17efb441237_thumb.jpg
google,Sunipa Dev,Senior Research Scientist,Erica Brick,4,https://cdn.theorg.com/3e5490b1-1c83-4551-9866-23c535ead2af_thumb.jpg
apple,Ray Vieweg,Hardware Lab Manager,Priya Ananthanarayanan,4,https://cdn.theorg.com/a600347a-44a3-4259-87d3-f5a9e8b6b729_thumb.jpg
meta,Parisa Zander,"Director, Channel Experiences",Christa Wittenberg,6,https://cdn.theorg.com/d60d5939-5e8c-4f2d-a947-a7412ed4f255_thumb.jpg
apple,Junyi Shen,Senior Machine Learning Scientist,Daphne Luong,4,https://cdn.theorg.com/baace763-7b25-4103-9c30-7ad47982d16e_thumb.jpg
amazon,Thomas D'Alessandro,Senior Account Representative - Seller Certification,Jamie Lomas,5,https://cdn.theorg.com/573f4842-bcaf-43c1-a190-a585337c8454_thumb.jpg
netflix,Marcella C. Nurse,"Senior Director, Talent Management - Scaled Experiences",Jenilee Deal,5,https://cdn.theorg.com/cb580007-75ea-4ca5-9c5b-3cede194d57b_thumb.jpg
netflix,Dean Garfield,"VP, Public Policy",David Hyman,3,https://cdn.theorg.com/19866c4f-598a-427c-a692-333990cba9b3_thumb.jpg
stripe,Rami Banna,Product Lead,Asavari Tayal,6,
meta,Larissa Diz,"Lead Technical Recruiter, SWE",Ruta Singh,6,https://cdn.theorg.com/def8dd76-dc64-40fb-84e5-7e4843d261d0_thumb.jpg
microsoft,Michael Keating,Principle Software Engineer Manager,Ali Akgun,4,https://cdn.theorg.com/1a73052b-7a04-4225-95de-d5918a801cb6_thumb.jpg
apple,Eclair Junchaya,Senior UX Designer,Kitty Yeung,6,https://cdn.theorg.com/c1b8d990-915a-445e-840c-ff0c5225588d_thumb.jpg
google,Anna Teregulova,"Lead Executive And Internal Producer, Google Cloud",Thomas Kurian,3,https://cdn.theorg.com/b61d9f88-fb66-4567-93b5-21d76d30ae10_thumb.jpg
nike,Tim Yu,"Vice President, Global Communications And Purpose // Jordan Brand",KeJuan Wilkins,3,https://cdn.theorg.com/8fe04d77-df46-436a-af72-51156732bab7_thumb.jpg
amazon,Sriskandarajah Suhothayan,Senior Software Engineer,Kannan K V,6,https://cdn.theorg.com/71006ed1-240b-4c75-acdf-f763bae911c6_thumb.jpg
meta,David Wei,"VP, Engineering",Javier Olivan,4,https://cdn.theorg.com/df724d74-3b80-4d5b-ba4c-ec320a3b655a_thumb.jpg
nike,Sourabh Mondal,Data Engineering Manager,Jason Loveland,5,https://cdn.theorg.com/88d8c0d3-f4b5-43c9-8ae9-a142673d40e8_thumb.jpg
amazon,Sandy Gordon,"Vice President, Employee Experience & Relations - Global Operations",John Felton,4,https://cdn.theorg.com/9c2040fa-dbb8-465f-9aab-a5b9b2ccd20a_thumb.jpg
google,Prateek Jain,Director Of Engineering,Sailesh Krishnamurthy,6,https://cdn.theorg.com/c655ed86-dbba-4ead-9ce3-7ebff155485f_thumb.jpg
meta,Tyler Yee,"Communications Manager, Reality Labs",Tucker Bounds,5,https://cdn.theorg.com/5e3051ad-2fd0-4f9a-abcb-8e06beb74b17_thumb.jpg
disney,Ed Soles,GM & Grouo Lead,Dorian Cusic,5,
microsoft,Tarun Mehra,"Vp, Healthcare Strategy And Partnerships (nuance)",Christopher Young,3,https://cdn.theorg.com/7c2305fd-db9d-4609-b784-fd2e9b50de99_thumb.jpg
google,Danell C.,"Head Of Marketing Analytics And Operations, Fitbit At Google",Daryl Butler,4,https://cdn.theorg.com/b60dafaf-381a-47f3-bb59-ada9017517fd_thumb.jpg
google,Rafael Pereira,Head of Scaled Parters | Latam,Kevin Ichhpurani,4,https://cdn.theorg.com/e985231f-e11e-4f2f-95e2-8aafd34ce383_thumb.jpg
amazon,Melissa Shafer,"Manager, Account Management",Tanner Elton,5,https://cdn.theorg.com/d4c04995-71b9-4090-91d3-c7c03f27dd37_thumb.jpg
tesla,Swapnil Bhatnagar,"VP, Internal Audit, Project Controls & Advisory",Vaibhav Taneja,4,https://cdn.theorg.com/771a85a4-a21c-4630-beae-f38dafed9aa3_thumb.jpg
apple,Reuben Miller,Chief Of Staff & Business Ops Lead For Inclusion & Diversity,Tanya White,4,https://cdn.theorg.com/968f7508-09f2-4ac0-88c6-86418d21fccb_thumb.jpg
google,Mindy C.,"Director Of Product Marketing, Consumer Chromebooks",Daryl Butler,4,https://cdn.theorg.com/85533826-226d-4b09-9275-23c01997502e_thumb.jpg
stripe,Rishabh Kothari,Product Lead,William Gaybrick,4,
netflix,Jyothi Nookula,Director Of Product Management,Michael Spiegelman,4,https://cdn.theorg.com/695d12c4-3b41-4810-ba2a-6600eafe364d_thumb.jpg
amazon,Fuego Mike Jean,Workplace Health And Safety Manager,Heather MacDougall,5,NA
google,Jacey Cheng,"Director, Data Science",Bill Jia,4,https://cdn.theorg.com/c60dcc21-0e6b-42fb-bff7-c87082742a94_thumb.jpg
nike,Chul Lee,"Digital Design Lead, Studio",Ronnie Wright,5,https://cdn.theorg.com/902d4917-72cd-45cf-ac9b-d2f17e81fb85_thumb.jpg
netflix,Jeff Benjenk,Head Of Slate Marketing,Srivats Ts,4,https://cdn.theorg.com/99ca1e63-c451-40f7-88e6-e9c2f56b4ace_thumb.jpg
tesla,Jens Stark,Market Lead,Troy Jones,4,https://cdn.theorg.com/3eb82273-c8bb-4c1f-865a-6a501244a3e9_thumb.jpg
google,Kirn Gill,Head Of strategy & Operations: Devices & Services Product Support,Ornella Indonie,4,https://cdn.theorg.com/e22f2073-3e8d-44a9-a0ad-204c59696cf1_thumb.jpg
amazon,Yan H.,Head Of Seller Success,Martyn Mallick,5,https://cdn.theorg.com/31c5ce70-9c1a-49f2-b1e1-eaf80b65159e_thumb.jpg
stripe,Ally Laborde,Business Recruiter,Danielle Atlas,5,https://cdn.theorg.com/2b5ff63b-d90f-42e7-99f6-67bc674faaf2_thumb.jpg
meta,Xin Luna Dong,Principal Scientist,Michael Abrash,5,
amazon,Mita Mahadevan,"Director, Amazon Search",Paul Kotas,3,https://cdn.theorg.com/f61bd0dd-54e7-464e-b441-bd6ef650ace5_thumb.jpg
apple,Vanessa trigub,Senior Director of WW Retail Market Development,Deirdre O’Brien,3,https://cdn.theorg.com/b653e39a-89d2-4610-95b2-c509623253d4_thumb.jpg
microsoft,Liz Friedman,"Senior Director, HR AI Transformation",John Maeda,4,https://cdn.theorg.com/12b14589-94dc-49c2-84a6-95cfa48157e3_thumb.jpg
nike,Julie Igarashi,"Vp, Creative Director",David Frank,5,https://cdn.theorg.com/f6320378-752a-462b-af15-7b484aefa084_thumb.jpg
amazon,Jaimie O'Dowd,"Senior Account Manager Team Lead, Amazon Ads",Matt Garman,3,https://cdn.theorg.com/d5523766-c7f4-4e64-8c17-d846f019824c_thumb.jpg
amazon,Chenlei Guo,"Director, Applied Science",Nikko Ström,4,https://cdn.theorg.com/b0ce64e1-5b9b-49a6-b745-c21e3456581d_thumb.jpg
google,Ran Wang,Senior Software Engineer,Chris Kimm,6,https://cdn.theorg.com/e2575af3-a19d-4673-8e6f-ba99dfe3da43_thumb.jpg
meta,Halim Wise,Head Of HR - Sales & Partnerships,Janelle Gale,5,https://cdn.theorg.com/bcf414f6-4e66-48a2-8974-d84e4575ebab_thumb.jpg
stripe,Diveshan Moodley,Product Partnerships - Strategic Wallets,Ossama Alami,5,https://cdn.theorg.com/1dfc0f53-0913-4ee4-a60f-45201bf07204_thumb.jpg
netflix,Anand Nair,"Head | Business & Legal Affairs, Regional Content",Josephine Choy,4,
apple,Darin Divinia,Senior Director - Data Centers,John Ternus,3,https://cdn.theorg.com/bb29fb68-2c0a-4e11-b139-a8638bf86043_thumb.jpg
google,Tomoyuki Hirate,"VP, Japan Representative Director & President, Google Cloud",Karan Bajwa,4,https://cdn.theorg.com/43a88be2-fdd9-4ea4-900d-861f02a6a3f5_thumb.jpg
amazon,Ty Zamkow,"Global Head Of Product, App",Olivier Wellmann,7,https://cdn.theorg.com/4e37f471-1ac0-4138-b337-fb457305d71e_thumb.jpg
meta,Abigail Tucker,"Product Marketing Manager, Commerce Platform",Goksu Nebol-Perlman,10,https://cdn.theorg.com/7a5657f2-2810-44ec-89b1-398358d53f26_thumb.jpg
meta,Janya Solanet,Art Director,Elisabeth Carr,7,
google,Davin Kumar,"Team Lead, Global People Experience",Ola Fadipe,6,https://cdn.theorg.com/749ba140-4562-4266-8947-b5aa92c11509_thumb.jpg
apple,Tom Farrell,"Director, Sales & Business Development, Enterprise & Education, Immea",Mike Fenger,3,https://cdn.theorg.com/b42b5895-964c-4220-969e-18f196bb0401_thumb.jpg
google,Katie Morgenroth,"Head Of Sustainable Design : Pixel, Nest, Fitbit",Ivy Ross,4,https://cdn.theorg.com/cff97cdb-396c-4073-acdd-492983fe0d62_thumb.jpg
amazon,Danielle Class,Software Engineering Manager,Laurent Brisedoux,5,
stripe,Evan Andrews,Data Scientist,Carter Lin,7,
disney,Jed Penna,Lead Software Engineer,Jay Donnell,4,
google,Stefan Schmid,"Head Of Google Cloud Security & Mandiant Sales - EMEA North, Central & CEE",Stacy Trackey Meagher,5,
amazon,Sheetal Sawhney Kapur,Head Of Payments And Privacy Legal,Michael Deal,4,
meta,Jan Gandhi,"Head Of Partnerships - Commerce & Messaging, North America & Latam",Emma Rodgers,6,https://cdn.theorg.com/263f9223-c9fa-4a89-8b1e-139cf719b8be_thumb.jpg
disney,Adam Flowers,Tour Retail Operations Manager Disney Theatrical Group,Jeff Miller,4,
disney,Maitri Dave,Senior Digital Marketing Executive,Jessica Intihar,4,https://cdn.theorg.com/7a584522-3898-45d3-8058-b3e1afc233ff_thumb.jpg
stripe,Doga Butler,"Global Sales Enablement, Global Processes Manager",Marcela Piñeros,5,https://cdn.theorg.com/9776c2c0-2656-4306-8179-09bfed1d19ad_thumb.jpg
amazon,Zena Margolis,"Head Of Brand Sponsorships, Creators At Amazon",Tami Hurwitz,6,https://cdn.theorg.com/f274a311-1a04-4664-a9da-b9c1c91d7881_thumb.jpg
apple,Kai Bai,"Sr. Manager, Product RF Definition",Kelly Lynn,4,https://cdn.theorg.com/f0834344-ac13-4ee5-857f-f306a5959399_thumb.jpg
netflix,Rishu Arora,"Director Of Product Management, Growth",Kathryn Chen,4,https://cdn.theorg.com/b46ec1eb-6d55-4cdf-92f3-f82fbdfc46d3_thumb.jpg
google,Eliot Danner,"Managing Director, Global S&t - Google Distributed Cloud",Thomas Kurian,3,
google,Soulaiman Itani,AI Lead,Oliver Parker,5,https://cdn.theorg.com/e86db229-ae76-4737-b695-ffb2b27cbc9f_thumb.jpg
nike,Tony Lim,"Senior Counsel, Supply Chain - Global Manufacturing And Sustainability",Neha Das,5,https://cdn.theorg.com/0e599d55-2dd8-4157-8bc4-e8cf106d3906_thumb.jpg
amazon,Julie Rapaport,"Head of Movies, Amazon Studios",Jennifer Salke,6,https://cdn.theorg.com/a6256ed7-d93c-4efb-8dde-3cfa30cabbda_thumb.jpg
meta,Shine Pulikathara,Product Designer · Visualization Manager,Travis Vocino,7,https://cdn.theorg.com/c49383ee-a549-4a97-949a-50286f8b251a_thumb.jpg
google,Anurag Sinha,"Head Of Business Systems, YBT",Phillipp Schindler,3,https://cdn.theorg.com/c349ccb6-c4b7-45a9-8638-b052c76e2126_thumb.jpg
disney,Selena K Walker,"Principal, Tax Provision And Fp&a",Justin Warbrooke,4,https://cdn.theorg.com/44fd620d-f8fd-4d33-a745-ba18c03ffe24_thumb.jpg
netflix,Chance Dean,Sr QA Analyst,Niosha Behnam,7,https://cdn.theorg.com/843f240e-84ab-4d51-a533-1b30167c77e9_thumb.jpg
netflix,Meriem Nassiri,Product Creative Strategy Lead,Steve Johnson,4,https://cdn.theorg.com/85ebe9f4-9e82-4320-a134-aeaf4b8078b1_thumb.jpg
amazon,John Mills,"Principal, Employee Relations",Beth Galetti,3,
meta,Yuandong Tian,Research Director,Alborz Geramifard,6,https://cdn.theorg.com/2992edc7-dd12-4e27-ae50-222ba50d91ba_thumb.jpg
google,Rishi Chandra,"VP, Product & GM, Google Nest",Rick Osterloh,3,https://cdn.theorg.com/7cdf98cb-bb1a-424a-a0ae-6d8b7dfb996a_thumb.jpg
google,Sreejith Valsala Sivasankar,Program Manager - Software Development [ Consultant-tata Elxsi],Devon Carew,6,https://cdn.theorg.com/ec86cf46-fcd9-4ad2-8ab8-d35a388c102a_thumb.jpg
netflix,Ashley Tolbert,Senior Security Engineer,Tim Perry,4,
amazon,Ayush Jaggi,Senior Software Engineer,An An Tran,6,https://cdn.theorg.com/4fe41ef2-d071-4d8e-b481-a284a3cefd9b_thumb.jpg
netflix,Farhad Vaid,"Senior Manager, Legal Operations & Technology",David Hyman,3,https://cdn.theorg.com/0005fc84-f95f-484b-af3f-6bb387c0605c_thumb.jpg
nike,Maxine Garcia-Reilly,"Director, Product Integrity",Sajo Jacob,4,https://cdn.theorg.com/f6a02ec6-f250-47fe-9a7f-e161efeafebd_thumb.jpg
tesla,Bruno Diaz Silva,Senior Process Engineer,Islam Menshawy,7,https://cdn.theorg.com/35de43ae-dbe2-4fcb-9757-29663a475a6c_thumb.jpg
disney,Lee Chong,EA,Sean Carter,5,https://cdn.theorg.com/cba57152-0b6a-4064-a2cc-80ef5b059d1b_thumb.jpg
stripe,Kalyani Pagadrai,Senior Product Manager,Ossama Alami,5,
amazon,Neetasha Joshi,"Head - Strategic Alliances & Business Development, India, Amazon Devices",Andrew Bennett,3,https://cdn.theorg.com/b6edcc40-ea4e-47ff-bd05-a5bbaed04a8e_thumb.jpg
microsoft,Alex Pepperl,"Director, Head Of Retail Media Adtech Partnerships",Kya Sainsbury-Carter,4,https://cdn.theorg.com/52ac3fe6-8a40-4648-b558-4941564752be_thumb.jpg
microsoft,Kya Sainsbury-Carter,"Corporate Vice President, Microsoft Advertising",Christopher Young,3,https://cdn.theorg.com/15a5b3ae-ab10-45fc-bd62-b2ca6df19f93_thumb.jpg
amazon,Abbi Collins,Tax Director - Planning And Restructures,Kurt Lamp,4,NA
amazon,Srivardhan M S,Senior Program Manager,Soo Lee,4,https://cdn.theorg.com/be7a472a-f158-4901-a26b-e8331e6ef369_thumb.jpg
meta,Tadhg Kennedy,International Tax Manager,Fran Erskine,7,https://cdn.theorg.com/35242301-9bd1-46bb-9842-493f58b227c8_thumb.jpg
disney,Caleb Jones,Enterprise Solutions Architecture - Sr. Staff Software Architect,Melisa Gomez,6,
stripe,Kye Burchard,Staff Software Engineer,Sachin Bansal,6,https://cdn.theorg.com/a58cba1f-0bab-4a92-82e1-e9801dad74b5_thumb.jpg
tesla,Chad Knight,Senior Supply Chain Manager,Camille Falières,5,https://cdn.theorg.com/a6c695a2-b7b5-490f-a663-cfecb3ecc053_thumb.jpg
